oco_config,direction,r_multiple,stop_type,stop_atr_pct,total_trades,wins,losses,win_rate,total_pnl,final_balance,expected_value
LONG_1.0R_ATR_50atr,LONG,1.0,ATR,0.5,6423,3157,3266,0.4915,-8175.0,-6175.0,-1.27
LONG_1.4R_ATR_50atr,LONG,1.4,ATR,0.5,6423,2648,3775,0.4123,-5085.0,-3085.0,-0.79
LONG_2.0R_WICK_50atr,LONG,2.0,WICK,0.5,6423,2153,4270,0.3352,2700.0,4700.0,0.42
LONG_1.4R_WICK_25atr,LONG,1.4,WICK,0.25,6423,2451,3972,0.3816,-40545.0,-38545.0,-6.31
SHORT_1.0R_ATR_50atr,SHORT,1.0,ATR,0.5,6423,3128,3295,0.487,-12525.0,-10525.0,-1.95
SHORT_1.4R_ATR_50atr,SHORT,1.4,ATR,0.5,6423,2647,3776,0.4121,-5265.0,-3265.0,-0.82
SHORT_2.0R_WICK_50atr,SHORT,2.0,WICK,0.5,6423,2142,4281,0.3335,225.0,2225.0,0.04
SHORT_1.4R_WICK_25atr,SHORT,1.4,WICK,0.25,6423,2446,3977,0.3808,-41445.0,-39445.0,-6.45
LONG_1.8R_ATR_75atr,LONG,1.8,ATR,0.75,6420,2303,4117,0.3587,2130.0,4130.0,0.33
SHORT_1.8R_ATR_75atr,SHORT,1.8,ATR,0.75,6423,2271,4152,0.3536,-4815.0,-2815.0,-0.75
